QUESTION,BT LEVEL
Recall the following pictoral example of an implementation of some queue operations,Knowledge
 Estimate the epicentral coordinates of the earth-quake,Evaluation
Contrast building in the coastal zone with building in a river floodplain.,Analysis
suggest ways in which it could have responded more effectively,Evaluation
Relate topographic map to field features,Application
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
Identify the correct definition of osmosis.,Knowledge
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
Judge the value of . . .?,Evaluation
Decide which course of action was most effective ,Evaluation
List the steps involved in titration.,Knowledge
How do we construct agents that can deliver. “good” assistance,Application
Estimate the difficulty of the question,Evaluation
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
design a cost effective strategy to generate reliable data.,Synthesis
Retell the story in your words.,Comprehension
How would you decide about...?,Evaluation
"Draw 3 pictures showing the beginning, middle and ending of the story.",Application
List four types of clauses mentioned in the article,Knowledge
How do teenagers use code in emails and instant messages?,Application
when was the first airport in the yemen built,Knowledge
Calculate for x in the following equation: 12x=36,Application
State in your own words the rule for balls and strikes in baseball.,Comprehension
Plan a research paper on a given historical topic,Synthesis
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge
Can you distinguish pot still rums from column still rums by taste,Analysis
Write a logically organized argument in favor of a given position.,Synthesis
Compare and contrast animals that the class has made.,Analysis
Explain in your own words what do you mean by the term economics?,Comprehension
How much did he pay for his car,Knowledge
Explain how Timothy saved Phillip's life.,Comprehension
State the rule for using a semicolon in a sentence.,Knowledge
Name one character. Rewrite the story from this character's point of view.,Synthesis
when did the first saudi radio station open,Knowledge
List the characteristics peculiar to the Cubist movement.,Knowledge
In one sentence explain the main idea of a written passage.,Comprehension
Classify types of corrosion inhibitors  ,Comprehension
"Show, through role-play, the final scene in the novel.",Application
"improved, reformed or rejected?",Evaluation
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application
"Divide the story into initiating event, rising action, climax, and falling action",Analysis
Evaluate the corrosion monitoring needs of a chemical processing plant ,Evaluation
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluation
Do you agree...?,Evaluation
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
 Develop a network based on the following information: Activity Immediate predecessors,Synthesis
List the levels in Bloom's Taxonomy.,Knowledge
 Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
From a blueprint to describe the article depicted.,Comprehension
Apply laws of statistics to evaluate the reliability of a written test.,Application
Select the most effective solution.,Evaluation
How would you show your understanding of the ABC process,Application
Make a list of facts you learned from the story.,Knowledge
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
Combine any two sports to develop a new Olympic sport.,Synthesis
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Compare fall and spring,Analysis
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Application
What questions would you ask if . . .?,Application
Construct an analog circuit with the following specifications,Application
Place the following in order of priority...,Evaluation
How was this similar to . . .?,Analysis
Summarize the main point of these two texts in your own words ,Comprehension
Do you devise a systematic approach in order to get larger progressions,Synthesis
Draw a picture of the bears' house.,Application
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
What do you think is the best thing about coming to Viestal?,Evaluation
Who was the writer of the Hamilton ,Knowledge
How does one specify the syntactical restrictions,Application
Devise a new economic system based on the ones that already exist.,Synthesis
Analyze the characteristics of frogs.,Analysis
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Correctly label the brain lobes indicated on the diagram below,Knowledge
Which technology is used by laser printer,Knowledge
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",Analysis
How do we differentiate between genuine buyer and undercover buyer,Analysis
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
 How do you construct foliations on a given manifold M?,Application
" Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
Can you develop a proposal which would . . .?,Synthesis
Identify the five major prophets of the Old Testament.,Knowledge
Tell in your own words how the setting of the story made it more interesting.,Comprehension
 Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
Draw a picture of the gown Cinderella wore to the ball.,Application
If you had access to all resources how would you deal with . . .?,Synthesis
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
Compare three celebrations using a Venn diagram.,Analysis
Analyze safe and dangerous aspects of these features.,Analysis
How would you create/design a new...?,Synthesis
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluation
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
How does Hawaii contrast and compare to Florida?,Analysis
State the characteristics of each type of corrosion testing studied,Knowledge
Discuss the nature of socialism.,Comprehension
Recall basic math facts,Knowledge
Estimate expenditure on HIV/AIDS education,Evaluation
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Application
What criteria would you use to assess...?,Evaluation
Design costumes for the characters.,Synthesis
Compose a simple rap or rhyme about zoo animals.,Synthesis
Can you distinguish aged rums from unaged rums by smell,Analysis
In one sentence illustrate the main point of a written passage.,Comprehension
Analyze the movements and sounds of a frog.,Analysis
State the definition of application in Bloom's Taxonomy.,Knowledge
Can you compare your . . . with that presented in . . .?,Analysis
Can you state in your own words what the problem is asking you to do,Comprehension
Predict what will happen next in.,Evaluation
Compose a rhythm or put new words to a known melody.,Synthesis
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
Explain in your own words what a recessive gene is.,Comprehension
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis
Compare the place where the story happened with where you live.,Analysis
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
"In your own words, how would you summarize the story up ",Comprehension
State the formula for the area of a circle,Knowledge
Can you create new and unusual uses for . . .?,Synthesis
Select the athlete of the century and analyze why you chose this person.,Analysis
Can you design a . . . to . . .?,Synthesis
Conduct an investigation to produce information to support a view.,Analysis
Compare and contrast our school to other communities.,Analysis
How many states are there in USA,Knowledge
Do you think that this statement conveys the idea that i am trying to portray,Evaluation
About what proportion of the population of the US is living on farms?,Knowledge
What would you do if a heavy growth of bacteria had occurred ,Application
Invent a machine to do a specific task.,Synthesis
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
Define the meaning of the Olympic Motto.,Knowledge
Assess the importance of understanding seasonal patters.,Evaluation
Use Laplace to solve the following problems,Application
How many years does this animal live?,Knowledge
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
"Identify a property (commutative, additive, etc(",Knowledge
Revise and process to improve the outcome.,Synthesis
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension
"If your story happened in a foreign land, compare that land to the United States.",Analysis
Are you a . . . person?,Evaluation
Compute the area of actual circles.,Application
 Construct one Turing Machine for computing each of the following functions,Application
Design a new animal to live in the jungle.,Synthesis
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
List reserved words in C programming.,Knowledge
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
Specify a deterministic finite automaton (DFA) recognizing the,Application
Evaluate appropriate and inappropriate actions of characters.,Evaluation
Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
Use the rule for a semicolon in a sentence.,Application
Compare and contrast two characters in the book.,Analysis
"Rewrite the sentence in your head, following the direction given below",Comprehension
What do you think is the mass and why,Evaluation
Compare two of the characters in this book.,Analysis
Explain what a poem means.,Comprehension
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
Interpret the pictures.,Comprehension
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
How many loop statement available in c++?,Knowledge
Describe what took place as the Hato was sinking.,Comprehension
Who is the first president   of USA,Knowledge
Justify the title To Kill a Mockingbird .,Evaluation
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluation
What would you predict/infer from...?,Synthesis
State four attributes of well engineered software.,Knowledge
Make a diagnosis or analyze a case study.,Analysis
Describe nuclear transport to a lay person.,Comprehension
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Recall locations of a historical events,Knowledge
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
How does Tdap differ from Td vaccine,Analysis
Estimate roughly how long the collision process takes,Evaluation
Break down the main actions of the story.,Analysis
How could we determine the number of pennies in a jar without counting them?,Synthesis
Compose music for a frog play.,Synthesis
Define four types of traceability.,Knowledge
What is  your family name,Knowledge
Draw and label a diagram of a typical stream.,Knowledge
How much is your weight,Knowledge
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
 Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
Construct a Venn diagram to determine the validity of the given argument.,Application
Distinguish between the following giving suitable examples,Analysis
Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
Draw the block diagram of the central processing unit ,Knowledge
What would result if …,Application
Describe 4 types of coupling in software design.,Comprehension
Recall the definition of the formula datatype from your assignment 2.,Knowledge
What are major facts about particular cultures and societies,Knowledge
Can you find four different feelings Pa Lia had during the story?,Analysis
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Application
Show me how you would check the brake lights are working on this car,Application
Draw the flow chart of the PNK system,Knowledge
Compare Calliope with Howie. Use the word bank.,Comprehension
Investigate innovations that can enhance future Olympics.,Analysis
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
How would you change the story to create a different ending?,Synthesis
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
State the guidelines to design an anodic protection system,Knowledge
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
Describe how the linear polarization method can yield corrosion rates,Comprehension
What is a textual index,Knowledge
Construct the 4-Bit Ripple carry Adder Circuit,Application
How is . . . similar to . . .?,Analysis
How does autonomy differ with age,Analysis
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
Rewrite a part in the poem using a different speaker,Comprehension
when was the UN formed ,Knowledge
Select the best proposal for a proposed water treatment plant.,Evaluation
How was life different in your town 100 years ago?,Analysis
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
Write a poem about this book.,Synthesis
 Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
How do you analyze a marginally RCT ,Analysis
Make a scrapbook about the areas of study.,Application
Develop and execute a program for this exercise,Synthesis
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
Describe what happened at...?,Comprehension
Can you defend your position about . . .?,Evaluation
Use a manual to calculate an employee's vacation time.,Application
 How can we combine and abstract facts about a software system to create new knowledge?,Synthesis
Choose and illustrate the two most important events in the story.,Evaluation
How would you restructure the school day to reflect children's developmental needs?,Synthesis
How effective are . . .?,Evaluation
Derive a kinetic model from experimental data.,Application
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
Make up a puzzle game using the ideas from the study area.,Application
Distinguish facts from hypotheses,Analysis
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
Integrate training from several sources to solve a problem.,Synthesis
Describe the major clinical differences between visceral and somatic pain,Comprehension
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
State the pattern for expressing time in French.,Knowledge
Tell in your own words the beginning of the book.,Comprehension
Model an Olympic Village for the new Millenium.,Application
Name the property that states that,Knowledge
Define mercantilism.,Knowledge
What is the most important...?,Evaluation
Describe how Phillip and Timothy survived on the Cay.,Comprehension
judge the difficulty level for yourself.,Evaluation
Can you write a new recipe for a tasty dish?,Synthesis
Describe in your own words what happens when a stream's velocity slows.,Comprehension
Construct a market strategy for your product using a known strategy as a model.,Application
Show how they have used creative writing strategies appropriate to the format,Application
Identify the standard peripheral components of a computer.,Knowledge
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation
How many instructions in the instruction set of RISC computer?,Knowledge
In Which part of the world does he live ,Knowledge
What are the representational symbols on maps and charts,Knowledge
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,Evaluation
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
Make a radio announcement that advertise the book. Write it out.,Synthesis
State the rule for balls and strikes in baseball.,Knowledge
State how to find a word in a dictionary,Knowledge
Identify a phrase as a simile,Knowledge
What does ICT stands for.,Knowledge
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
Can you solve the following problem ,Application
" Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
How would you investigate this patient,Analysis
Complete an analogy (analogy tasks are inference tasks),Comprehension
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
Write a set of rules to prevent what happened in the story.,Synthesis
 Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Which of the following item does not belong to the set ?,Knowledge
Recall the equation for the Ideal Gas Law.,Knowledge
"Develop a way to teach the concept of ""adjectives"".",Synthesis
Can you group by characteristics such as . . .?,Application
What is the title of the first movie you saw ,Knowledge
Would you solve these two problems using similar approaches,Application
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
Describe in prose what is shown in graph form.,Comprehension
How much data can be stored in the cach memory,Knowledge
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Application
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",Comprehension
How would you have handled . . .?,Evaluation
Differentiate between .call by value and call by reference.,Analysis
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
"Analyze the problem, identifying its variables.",Analysis
Develop a hypothesis.,Synthesis
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
Establish criteria for making this choice and defend your final selection.,Evaluation
Devise plans to market or make artwork more valuable.,Synthesis
How does public health reporting differ today from reporting two years before,Analysis
How does...compare/contrast with...?,Analysis
Can you distinguish between . . .?,Analysis
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
Decide which candidate would best fill the position of principal.,Evaluation
Investigate whether or not the system can be solved for x; y; z ,Analysis
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Comprehension
"Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
Describe in your own words what is meant by a sprained ankle.,Comprehension
How could you re-write this story with a city setting?,Synthesis
Compare and contrast the waterfall model with the prototyping model.,Analysis
Name the artist who painted the Mona Lisa.,Knowledge
Sketch a typical absorption process in a packed column with regeneration in form of,Application
Summarize the basic tenets of deconstructionism.,Comprehension
Describe the output of this program fragment:,Comprehension
Express the following percentages as fractions in simplest form,Comprehension
What is part of this book did you like best. Tell why you like it?,Evaluation
How would you classify the geographic location of your school,Comprehension
Rewrite the principles of test writing.,Comprehension
Please label the diagram below:,Knowledge
Recite a policy of immigration in Europe .,Knowledge
What are the major products and exports of countries,Knowledge
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
How much time did he took to build a house,Knowledge
Differentiate the following functions using the quotient rule,Analysis
Examine differences between the means of each individual switching factor.,Analysis
Recite the principles of the Data Protection Act.,Knowledge
How would you relate position concept with position strategy,Application
What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
Explain in one's own words how to create a query in a database.,Comprehension
Determine the author’s point of view,Comprehension
What are the structure or functions of Congress,Knowledge
"Define stream bank, floodplain and substrate.",Knowledge
Recite the the Gaussian law,Knowledge
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",Evaluation
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",Evaluation
How would you differentiate a project from a program,Analysis
How to combine virtual symmetry and symbolic model checking effectively,Synthesis
What ideas can you add to...?,Synthesis
"Combine elements of drama, music, and dance into a stage presentation.",Synthesis
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Synthesis
What would happen if the rainfall doubled in your state next year,Application
Who can use what we know about sonnets and finish this poem?,Application
Design a building according to given specifications,Synthesis
How to construct the selected information system,Application
Can you apply the method used to some experience of your own . . .?,Application
What is a global variable?,Knowledge
 How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
Explain choices made in making recommendations to an end user.,Evaluation
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
Translate an equation into a spreadsheet formula.,Comprehension
Choose a paint schedule for the maintenance of an outdoor structure? (level 2) ,Evaluation
Distinguish between micro and macro economics.,Analysis
Write a list of criteria to judge the Willy raps.,Evaluation
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,Application
Justify and nominate ways to prevent animal extinction.,Evaluation
Determine if a character’s actions were heroic ,Evaluation
What criteria would you use to assess the validity of a business contract?,Evaluation
How to Construct the Optimal Maintenance Problem,Application
Recommend how our classroom or playground could be improved.,Evaluation
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
How much water does an elephant drink,Knowledge
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluation
Compose a complete C program that reads text strings from a text file into a suitable data,Synthesis
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
Revise the story and specify the type of audience that would enjoy this book.,Evaluation
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
Express the rule in function notation,Comprehension
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,Application
Decide whether you learned enough about electricity from this book.,Evaluation
Translate the following passage from The Iliad into English.,Comprehension
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation
Determine the next number in a sequence,Comprehension
"In your own words, how would you define transferable skills",Comprehension
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysis
Show the value of x after running this program fragment,Application
How would you feel if . . .?,Evaluation
"Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluation
 Outline your experience in working with service users,Comprehension
Apply shading to produce depth in drawing.,Application
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
Classify animals into two groups.,Comprehension
What are the parts or features of...?,Analysis
Categorise the pictures and add them to the wall display.,Application
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Application
What approach would you use to prove the truth of the below statement ,Application
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Synthesis
Label any Olympic sporting apparatus with design features.,Knowledge
What season are we in right now?,Knowledge
What do you think are the strengths of using integrated math in your program?,Evaluation
What might happen if you combined...?,Synthesis
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process? ",Analysis
Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
Can you analyze the fractures and determine which should be repaired surgically,Analysis
"Given the data available on a research question, take a position and defend it.",Evaluation
Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
In what ways do female offenders differ from male offenders,Analysis
Draw a painting that uses various principles of perspective to achieve its effect.,Synthesis
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
Compute the volume of a cylinder,Application
Revise how to complete a complex task in order to improve the outcome.,Synthesis
Design a machine to perform a specific task.,Synthesis
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Evaluation
Inspect the pattern of GPS positions relative to the “known” published value,Analysis
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
Create and perform a play about frogs.,Synthesis
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
What changes to . . . would you recommend?,Evaluation
Explain and justify a new budget.,Evaluation
Compose a device that would assist an athlete in their training.,Synthesis
Make up a new language code and write material using it.,Synthesis
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
Express the following systems in matrix form,Comprehension
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysis
Rewrite you predicted equation for the ideal gas law,Comprehension
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Synthesis
Identify the part of a eukaryotic cell.,Knowledge
How does an endorsement differ from a teaching certificate,Analysis
Defend your use of a specific strategy in solving the problem.,Evaluation
Evaluate whether their model is a true representation of the local environment.,Evaluation
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
 Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation
Differentiate between the following terms along with appropriate examples,Analysis
What happens if you change the direction of the displacement (but not its size)?,Application
Make a paper-mache map to include relevant information about an event.,Application
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
When did the second world war happen ,Knowledge
Conclude and support which economic system leads to a higher standard of living.,Evaluation
"Classify the following substances as particle, atom, element, molecule, compound",Comprehension
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation
"Recite the poem ""Auto Wreck"".",Knowledge
How does your agency inspect against its expectation for operators ,Analysis
when did saudi arabia start using internet,Knowledge
How do you think the community should grow or change,Evaluation
Outline the most important insight of the tale.,Comprehension
Rewrite the markov matrix to account for this slight change.,Comprehension
how do we devise a way to enforce the laws,Synthesis
Explain the communicative property.,Comprehension
Outline the aim of two studies within the ,Comprehension
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Comprehension
"From the information given, can you develop a set of instructions about . . .?",Application
What factors would you change if . . .?,Application
Paraphrase the poem in your own words,Comprehension
Summarize the basic tenets of collaborative conservation.,Comprehension
Can you invent another character for the story?,Synthesis
How to specify the impact energy and impact test temperature of the material in the Code,Application
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis
Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
Which of the following actions would probably be least effective in determining the answer? ,Evaluation
Translate an equation into a computer spreadsheet.,Comprehension
Contrast the Valles Marineris on Mars with the Grand Canyon,Analysis
"How can we construct H given I, B and E?",Application
who was the first man on the moon,Knowledge
Look at the symbol. What is the symbol’s purpose on a map?,Knowledge
Name the main characters in the story.,Knowledge
Summarize Jem’s beliefs about Boo Radley,Comprehension
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension
Create plan of local environment by drawing around boxes.,Synthesis
Critique an experimental design or a research proposal.,Evaluation
What would happen if . . .?,Synthesis
Express your opinion of 'Drugs in Sport' through poetry.,Comprehension
Solve a math problem using familiar procedure or formula,Application
Predict what happens to X if Y increases.,Application
Construct the Data Path of the RISC Processor given in the previous question ,Application
Demonstrate how this could work in an industry setting?,Application
In what ways are foxes similar to wolves and dogs,Analysis
Would this information be useful if you had a . . .?,Application
Describe in your own words how to copy text from one program into another.,Comprehension
Participate in a mock election,Application
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis
"In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
Apply the rule of law to a new situation,Application
List three predominant economic systems that exist,Knowledge
What solutions would you suggest for...?,Synthesis
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
Define compound interest.,Knowledge
"Using information from the book about one of the main characters, rewrite the ending of the book.",Synthesis
Paraphrase an important speech,Comprehension
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
Illustrate what you think the main idea was.,Comprehension
Appraise data in support of a hypothesis.,Evaluation
" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
 How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
How would you differentiate between heterodox and mainstream,Analysis
Given two opposing theories design an experiment to compare them.,Synthesis
Use a sketch too find the exact value of each expression,Application
Design and make an animal that moves.,Synthesis
